Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Вертипорох,Юстина,Віталіївна,Жінка,02.12.1971,Гірничий інженер,село Умань,"проспект Комітетська, буд. 61 кв. 49, Умань, 70284",592 07 26,darynarebryk@example.net
Пустовіт,Олена,Зеновіївна,Жінка,26.11.1992,Правник,місто Голубівка,"парк Балтський 1-й, буд. 65 кв. 771, Брянка, 66357",442-34-41,demydenkohennadii@example.net
Дейсун,Мирон,Тарасович,Чоловік,02.12.1970,Фізик,місто Таврійськ,"вулиця Селекційна, буд. 69 кв. 81, Тетіїв, 62043",095 361 86 03,irena50@example.net
Щербань,Олег,Богданович,Чоловік,03.12.1966,Антрополог,місто Гайсин,"проспект Тетяни Тесс, буд. 7 кв. 30, Щастя , 56438",+380 12 595-53-81,prokhirvanchenko@example.com
Заїка,Данило,Анатолійович,Чоловік,01.12.1975,Круп'є,село Хрустальний,"набережна Балтський 4-й, буд. 7, Часів Яр, 37164",+380 92 299-70-38,zmykhailiuk@example.com
Дашкевич,Оксана,Василівна,Жінка,25.11.1999,Ботанік,село Ананьїв,"набережна Абрикосова, буд. 6, Армянськ, 93793",026 797 29 28,oryna73@example.com
Яценко,Любов,Тарасівна,Жінка,05.12.1956,Геофізик,місто Вугледар,"шосе Геранієва, буд. 9 кв. 081, Соледар, 15074",217-39-29,amvrosiizasukha@example.com
Юрчишин,Стефан,Романович,Чоловік,02.12.1970,Фізик,місто Лутугине,"вулиця Кристаловського, буд. 764 кв. 998, Ржищів, 97740",639-60-96,khoma26@example.net
Журба,Богуслава,Анатоліївна,Жінка,27.11.1990,М'ясник,місто Великі Мости,"площа Миколаївська дорога, буд. 258, Вуглегірськ, 94109",+380 85 843-47-00,pylyp39@example.net
Бабʼяк,Ада,Олегівна,Жінка,29.11.1983,Геолог,хутір Нововолинськ,"сквер Костанді 3-й, буд. 757, Чигирин, 55971",739 08 96,rostyslavpryimak@example.com
Байдак,Олена,Ігорівна,Жінка,24.11.2000,Епідеміолог,село Батурин,"шосе Якірний, буд. 081, Рені, 55840",+380 47 375 55 27,zlatoslava26@example.org
Дерегус,Панас,Романович,Чоловік,28.11.1985,Епідеміолог,селище Новоукраїнка,"площа Ползунова 2-й, буд. 36 кв. 0, Горішні Плавні, 61775",581 01 56,oles16@example.net
Андрійович,Ростислав,Зеновійович,Чоловік,26.11.1993,Піаніст,місто Дружківка,"шосе Центральний аеропорт, буд. 88, Вовчанськ, 16688",+380 (61) 086-46-20,szhaivoron@example.com
Байда,Аліна,Віталіївна,Жінка,02.12.1971,Актор,село Українськ,"набережна Високий, буд. 2, Радомишль, 22293",079 638 46 62,amvrosii58@example.org
Рубан,Нестор,Ярославович,Чоловік,26.11.1992,Агроном,селище Малин,"сквер Морехідна, буд. 2, Суходільськ, 37438",+380 64 082-40-26,hriabets@example.net
Килимник,Богдан,Олегович,Чоловік,02.12.1968,Секретар,селище Мена ,"площа 8-ма Лінія 6-й ст. Люстдорфської дороги, буд. 476, Київ, 75503",023 060-60-23,khomenkoievhen@example.org
Іщак,Валерій,Тарасович,Чоловік,28.11.1986,Флорист,хутір Бобринець,"набережна Глазунова 1-й, буд. 592, Новий Розділ, 65465",+380 86 771 29 97,ftkach@example.org
Забарний,Ірена,Степанівна,Жінка,03.12.1966,Продюсер,селище Залізне,"парк Вокзальний, буд. 868, Алчевськ, 30411",583-16-66,cherinkoanton@example.net
Козак,Володимира,Артемівна,Жінка,02.12.1970,Дантист,місто Шепетівка,"провулок 17-та Лінія 6-й ст. Люстдорфської дороги, буд. 357 кв. 76, Люботин, 13417",+380 (21) 665-88-24,qtokar@example.net
Засенко,Любов,Анатоліївна,Жінка,05.12.1957,Фізик,хутір Новодружеськ,"площа Умова, буд. 247 кв. 8, Вознесенськ, 15657",+380 (56) 546-01-51,vasylyna13@example.com
Голобородько,Василь,Зеновійович,Чоловік,27.11.1991,Сценарист,місто Бердянськ,"провулок Бернардацці, буд. 286 кв. 06, Чигирин, 70771",+380 51 481-56-23,verkholapylyp@example.org
Шморгун,Святослав,Ярославович,Чоловік,30.11.1977,Актор,хутір Ланівці,"сквер Іванова, буд. 465, Броди, 74991",+380 70 199-79-33,bezborodkooleksandr@example.com
Саченко,Віра,Ярославівна,Жінка,01.12.1974,Краєзнавець,місто Коростишів,"узвіз Морехідна, буд. 124, Українка , 98811",893-24-64,martademianenko@example.com
Юрчишин,Одарка,Богданівна,Жінка,05.12.1957,Ботанік,село Люботин,"проспект Михайла Грушевського, буд. 2, Буринь, 62880",057 193 94 03,udovenkosolomon@example.com
Василечко,Лесь,Тарасович,Чоловік,28.11.1986,Фотограф,село Сторожинець,"площа Металістів, буд. 813, Ромни, 39026",076-42-95,irenahaidenko@example.net
Ярош,Соломія,Віталіївна,Жінка,29.11.1982,Ботанік,місто Попасна,"шосе Польова, буд. 787, Суми, 89736",+380 (13) 795-68-80,petro86@example.com
Даценко,Марко,Ярославович,Чоловік,02.12.1971,Пілот,село Краматорськ,"вулиця Виноградна, буд. 3 кв. 1, Красилів, 64099",+380 86 904 24 28,qshchors@example.net
Батуринець,Маруся,Максимівна,Жінка,01.12.1975,Ветеринар,місто Вишгород,"шосе Шкодова гора, буд. 34 кв. 4, Волноваха, 07631",+380 17 378-19-93,dutkavladyslav@example.org
Яценюк,Соломія,Артемівна,Жінка,06.12.1954,Водій,місто Миронівка,"проспект Дубова, буд. 8, Біляївка, 84711",+380 42 866 51 62,mykytademianchuk@example.net
Тихий,Марта,Ярославівна,Жінка,28.11.1985,Прокурор,місто Севастополь,"проспект Лінія 26-та, буд. 3, Прилуки, 76832",157 90 15,vira33@example.net
Голик,Софія,Зеновіївна,Жінка,02.12.1969,Публіцист,місто Армянськ,"провулок Прохоровський, буд. 177, Нове Давидково, 42800",+380 75 226-05-29,zhalilotereza@example.com
Єрьоменко,Владислав,Ігорович,Чоловік,01.12.1972,Ветеринар,село Татарбунари,"проспект Джерельна, буд. 511 кв. 88, Тлумач, 73412",039 607-59-41,okhrim27@example.net
Піддубний,Наталія,Романівна,Жінка,03.12.1965,Золотар,місто Батурин,"вулиця Прорізна, буд. 35, Новомиргород, 50196",+380 08 618 48 90,trokhymiurchyshyn@example.org
Петлюра,Гліб,Григорійович,Чоловік,26.11.1995,Режисер,селище Яготин,"шосе Серединський, буд. 013, Біла Церква, 67002",489-16-65,sviatoslavpalii@example.com
Андріїшин,Емілія,Анатоліївна,Жінка,03.12.1965,Ґрунтознавець,селище Сновськ,"узвіз Глазунова, буд. 6, Щастя , 35638",055 487-32-97,valentynanosachenko@example.com
Бабич,Тарас,Богданович,Чоловік,30.11.1979,Випробувач,селище Обухів,"вулиця Шолохова, буд. 78 кв. 1, Теребовля, 46314",839 09 01,hermanartiukh@example.com
Тарасенко,Світлана,Романівна,Жінка,06.12.1953,Візажист,місто Стебник,"парк Глазунова 2-й, буд. 0, Гребінка, 77457",+380 (38) 860-29-20,venhrynovychamaliia@example.net
Дерегус,Ярема,Григорійович,Чоловік,02.12.1970,Електромонтер,хутір Перечин,"провулок Кипарисний 1-й, буд. 11, Жашків, 70695",+380 (76) 021-15-70,levko83@example.net
Ванченко,Софія,Романівна,Жінка,27.11.1990,Хореограф,селище Новодружеськ,"шосе Гетьманський, буд. 161, Перечин, 79759",064-83-70,kieroshenko@example.net
Ващенко,Андрій,Анатолійович,Чоловік,01.12.1972,Актор,хутір Нововолинськ,"вулиця 10-та Суворовська, буд. 18 кв. 077, Рахів, 74762",+380 11 036-32-45,vivcharenkoielysaveta@example.com
Ґереґа,Віталій,Васильович,Чоловік,29.11.1983,Кінокритик,хутір Гайсин,"набережна Амундсена, 3-й, буд. 40, Хорол , 76492",090 586-32-28,marusiakolisnychenko@example.org
Колодуб,Єва,Святославівна,Жінка,04.12.1962,Піаніст,селище Іловайськ,"сквер Листяна, буд. 70 кв. 43, Івано-Франківськ, 82933",+380 51 723-89-82,leonidievtushok@example.net
Парасюк,Марія,Артемівна,Жінка,30.11.1977,Астронавт,селище Гайсин,"набережна Василя Кандинського 4-й, буд. 1 кв. 37, Старий Самбір, 44665",060 290 88 92,aaronduplii@example.com
Доценко,Богуслав,Олегович,Чоловік,06.12.1955,Мистецтвознавець,місто Звенигородка,"шосе Капітана Кузнецова, буд. 44 кв. 3, Новгород-Сіверський, 98870",712 55 92,oilchenko@example.com
Чубай,Надія,Степанівна,Жінка,06.12.1955,Бізнесмен,хутір Знам'янка,"вулиця 3-тя Суворовська, буд. 224, Гайсин, 01376",+380 32 260 45 25,anastasiiavelychko@example.com
Артимович,Надія,Василівна,Жінка,04.12.1960,Диригент,село Біла Церква,"узвіз Достоєвського, буд. 8 кв. 721, Хотин, 82231",+380 51 554-13-87,avreliibarabash@example.org
Фесенко,Антон,Анатолійович,Чоловік,02.12.1970,Юрист,селище Бурштин ,"площа Новгородський 2-й, буд. 146, Чортків, 14847",+380 23 843-05-04,klavdiia78@example.org
Рак,Ярослава,Богданівна,Жінка,27.11.1990,Євнух,село Волочиськ,"шосе Василя Кандинського, буд. 0, Шаргород, 09300",537-56-62,zsymonenko@example.org
Ісаєвич,Анжела,Олегівна,Жінка,26.11.1994,Педагог,місто Харків,"площа Донецька, буд. 974, Амвросіївка, 34267",+380 67 442 33 78,oiarosh@example.com
Франчук,Дан,Ігорович,Чоловік,30.11.1978,Антрополог,місто Глиняни,"вулиця Крушельницької, буд. 75 кв. 769, Нова Одеса, 54906",101 61 30,khudobiakvarfolomii@example.org
Теличенко,Соломія,Ігорівна,Жінка,04.12.1960,Кіноактор,селище Новгород-Сіверський,"площа Василя Кандинського 5-й, буд. 733 кв. 65, Нікополь, 49832",690 34 56,kamilla91@example.com
Дубас,Борислав,Степанович,Чоловік,03.12.1967,Мірошник,селище Овруч,"шосе Одеська, буд. 856, Гайворон, 38180",723 97 93,oleh75@example.net
Чумак,Наталія,Тарасівна,Жінка,02.12.1971,Маркетолог,хутір Малин,"площа Любашівський, буд. 37 кв. 45, Збараж, 94507",055 146-56-31,liubovishchenko@example.net
Царенко,Аніта,Григоріївна,Жінка,25.11.1996,Випробувач,село Балта,"провулок Профспілкова, буд. 2, Перещепине, 04632",+380 41 719-99-81,ndzyndra@example.net
Чабан,Нестор,Васильович,Чоловік,04.12.1960,Фармацевт,селище Кременчук,"парк Радісна, буд. 49, Житомир, 05525",068 408-19-03,gbaidak@example.org
Нестеренко,Варфоломій,Віталійович,Чоловік,26.11.1993,Золотар,село Жовква,"проспект Чумацька, буд. 69 кв. 35, Біляївка, 10059",074 361-90-48,cromanchuk@example.net
Франко,Амалія,Романівна,Жінка,06.12.1953,Хореограф,місто Тараща,"площа Гвоздичний, буд. 0, Баранівка, 17039",+380 (10) 400-89-03,lytvynenkokamilla@example.org
Каденюк,Марія,Святославівна,Жінка,27.11.1989,Економіст,селище Святогірськ,"вулиця Демократична, буд. 444, Світловодськ, 65182",515-88-61,qokhrimenko@example.org
Бездітко,Ліза,Анатоліївна,Жінка,29.11.1980,Бухгалтер,хутір Тернівка ,"набережна Сумська, буд. 754, Шумськ, 58786",+380 56 473-88-33,tetiana32@example.net
Валенко,Богданна,Тарасівна,Жінка,26.11.1994,М'ясник,місто Городня,"парк Стовпова, буд. 8 кв. 09, Новогродівка, 38883",687 64 45,varvara11@example.com
Жайворон,Орися,Степанівна,Жінка,01.12.1975,Стропальник,хутір Ананьїв,"провулок Кифоренка Бориса, буд. 76, Костянтинівка, 15328",042 519 87 02,omeliansheremeta@example.net
Конопленко,Опанас,Ярославович,Чоловік,01.12.1973,Філолог,місто Жмеринка,"шосе 13-та Суворовська, буд. 956 кв. 6, Хрустальний, 03671",503 79 01,abramenkosolomon@example.com
Акименко,Лілія,Василівна,Жінка,24.11.2002,Астронавт,місто Чигирин,"узвіз Приморський, буд. 6 кв. 36, Інкерман, 33191",620-56-12,ihnatshvachka@example.org
Забашта,Ярина,Анатоліївна,Жінка,27.11.1989,Пекар,село Угнів,"парк Біляївська, буд. 140 кв. 79, Чорнобиль, 17681",+380 60 229-41-58,andriiovychleontii@example.net
Євтушок,Арсен,Анатолійович,Чоловік,24.11.2001,Модельєр,селище Перещепине,"сквер Лінія 53-тя, буд. 7, Костопіль, 12753",047-52-59,havryshkevychedyta@example.com
Ватаманюк,Анжела,Олегівна,Жінка,03.12.1965,Електрослюсар,хутір Жашків,"проспект Рішельєвська, буд. 47 кв. 80, Кодима, 93427",009 021-00-91,marusiaakulenko@example.com
Акуленко,Станіслав,Ігорович,Чоловік,02.12.1968,Науковець,селище Монастирище,"шосе Новощіпний ряд, буд. 907, Буча, 69167",748-66-13,symon61@example.org
Цимбалюк,Симон,Тарасович,Чоловік,30.11.1979,Петрограф,селище Рівне,"шосе Дачний 2-й, буд. 14 кв. 963, Судова Вишня, 01982",+380 (35) 332-38-47,izinkevych@example.com
Пустовіт,Опанас,Анатолійович,Чоловік,24.11.2000,Детектив,місто Джанкой,"вулиця Чернігівська, буд. 88 кв. 07, Антрацит , 98565",+380 09 742-27-29,avhustyn56@example.com
Аверченко,Розалія,Романівна,Жінка,28.11.1987,Педагог,селище Остер ,"проспект Західний 4-й, буд. 72 кв. 93, Пирятин, 59817",+380 (26) 127-18-92,wiurchenko@example.com
Габелко,Софія,Анатоліївна,Жінка,05.12.1958,Кухар,село Тараща,"набережна Східчастий 4-й, буд. 34 кв. 141, Бурштин , 68854",+380 07 506-99-58,mykhailynahres@example.org
Талан,Варвара,Богданівна,Жінка,29.11.1981,Флорист,хутір Сміла,"проспект Колективний, буд. 424, Верхньодніпровськ, 52660",071 22 91,arsenlaba@example.org
Мірошниченко,Єва,Степанівна,Жінка,24.11.2001,Ботанік,село Глобине,"набережна Набережна, буд. 32 кв. 33, Світлодарськ, 97586",969 06 84,iostapchuk@example.org
Їжакевич,Мілена,Артемівна,Жінка,26.11.1994,Редактор,селище Мирноград,"набережна Чорноморський 9-й, буд. 954 кв. 711, Нетішин, 16580",006 528-54-00,onishchukfrants@example.com
Каденюк,Володимира,Ярославівна,Жінка,30.11.1976,Машиніст,село Зимогір'я,"провулок Селищна, буд. 54 кв. 0, Путивль, 96159",+380 (30) 264-98-70,olesvlasenko@example.net
Андрійович,Михайло,Віталійович,Чоловік,29.11.1983,Адвокат,селище Заліщики,"проспект Віцеадмірала Азарова, буд. 72 кв. 38, Верхньодніпровськ, 66551",+380 (10) 435-73-41,myroslav65@example.net
Литвин,Любов,Артемівна,Жінка,25.11.1996,Археолог,село Глухів,"сквер Четверта, буд. 69, Бахмач, 16618",+380 75 549-58-40,teodor17@example.net
Семенченко,Едита,Святославівна,Жінка,26.11.1995,Прокурор,селище Знам'янка,"провулок 14-та Суворовська, буд. 7, Лозова , 44474",+380 (88) 590-89-95,umanetsoles@example.com
Панчук,Наталія,Ярославівна,Жінка,02.12.1968,Хімік,село Збараж,"вулиця Суднобудівний, буд. 643, Бурштин , 25716",+380 61 949 70 65,okhrimhavryliuk@example.com
Сірченко,Леонід,Васильович,Чоловік,29.11.1983,Програміст,хутір Городок,"провулок Нечипуренка, буд. 6, Узин, 87877",+380 26 554 94 26,ebandurka@example.com
Микитюк,Владислав,Романович,Чоловік,30.11.1976,Хімік,хутір Нікополь,"провулок Стражеска Миколи, буд. 631 кв. 1, Амвросіївка, 04243",+380 87 045 40 42,leopold22@example.net
Вдовиченко,Тимофій,Максимович,Чоловік,03.12.1965,Провізор,хутір Богодухів,"сквер Херсонський, буд. 31, Буринь, 36529",+380 44 599-76-84,ekomar@example.com
Уманець,Віра,Ігорівна,Жінка,30.11.1976,Дизайнер,селище Авдіївка,"шосе Ямчитського, буд. 8 кв. 3, Добромиль, 07918",068 217 56 95,oriabets@example.org
Чарниш,Амалія,Віталіївна,Жінка,27.11.1990,Няня,село Чоп,"площа Теплична, буд. 62, Первомайський , 40357",172-46-72,svystunavhustyn@example.com
Москаль,Ганна,Святославівна,Жінка,29.11.1982,Музикант,селище Славутич,"парк Донецька, буд. 5 кв. 043, Жашків, 70544",037 621 83 47,vitrukiarema@example.com
Дубина,Борис,Ярославович,Чоловік,25.11.1998,Державний службовець,місто Подільськ,"проспект Павла Шклярука, буд. 15, Рожище, 09803",682 77 58,abramchukbohdanna@example.com
Валенко,Хома,Ігорович,Чоловік,06.12.1954,Науковець,хутір Ланівці,"провулок Локомотивний 3-й, буд. 253 кв. 5, Першотравенськ, 71822",+380 36 718-22-94,shovkopliasopanas@example.org
Дахно,Соломон,Ярославович,Чоловік,26.11.1994,Акушер,селище Теплодар,"парк Бессарабська, буд. 6, Шостка, 28365",039 809-50-07,iosypsvyrydenko@example.net
Швайка,Юстина,Анатоліївна,Жінка,06.12.1954,Каскадер,хутір Любомль,"шосе Ляпунова, буд. 374 кв. 08, Сєвєродонецьк, 92212",+380 54 868-28-19,boleslav82@example.org
Дерегус,Софія,Василівна,Жінка,28.11.1987,Археолог,селище Єнакієве,"площа Дальницьке, буд. 0 кв. 534, Інкерман, 09655",118-23-41,varfolomii31@example.com
Батюк,Едита,Ярославівна,Жінка,04.12.1960,Провізор,місто Новоселиця,"парк Вознесенський, буд. 03 кв. 993, Родинське, 31787",+380 24 015-61-82,artem72@example.com
Козаченко,Соломія,Ігорівна,Жінка,24.11.2003,Публіцист,село Арциз,"проспект Валіховський, буд. 255, Сніжне, 57725",048 751-94-84,liudmylalahoda@example.net
Девдюк,Михайло,Тарасович,Чоловік,29.11.1980,Нотаріус,хутір Роздільна,"сквер Радісна, буд. 32, Кодима, 93717",053 678-74-53,leopold60@example.net
Журба,Наталія,Степанівна,Жінка,26.11.1992,Стиліст,хутір Сніжне,"узвіз Миколи Бажана, буд. 63, Житомир, 12368",969 88 10,albinazaika@example.net
Лемешко,Ганна,Романівна,Жінка,03.12.1967,Євнух,хутір Гребінка,"вулиця Академіка Богатського, буд. 2, Дебальцеве, 27325",083 837 09 78,leopoldiushchenko@example.org
Бабій,Галина,Максимівна,Жінка,26.11.1992,Продюсер,місто Немирів,"шосе Пастера, буд. 0 кв. 290, Кремінна, 45061",+380 78 377 24 17,viktor77@example.net
Зінчук,Ірина,Артемівна,Жінка,30.11.1976,Фотограф,хутір Токмак,"парк Чорноморський 2-й, буд. 836 кв. 8, Василівка , 27678",850 26 70,bohdanhres@example.org
Яремчук,Ольга,Анатоліївна,Жінка,28.11.1985,Інженер,селище Вознесенськ,"площа Сосюри, буд. 6 кв. 52, Мала Виска, 97357",039 420-71-97,onyshchenkodemian@example.net
Пустовіт,Соломія,Віталіївна,Жінка,27.11.1990,Флорист,хутір Корюківка,"шосе Героїв Небесної Сотні, буд. 662, Прип'ять , 84673",069 254 64 89,fiaremkiv@example.net
Матяш,Дарина,Богданівна,Жінка,02.12.1968,Письменник,хутір Новогродівка,"площа Левадна, буд. 533, Тростянець, 98713",077-93-30,nataliia49@example.net
Рубець,Герман,Артемович,Чоловік,27.11.1990,Няня,селище Середина-Буда,"площа Ковиловий, буд. 23, Звенигородка, 81473",079 862 85 27,violetta68@example.com
Луценко,Пантелеймон,Ярославович,Чоловік,27.11.1988,Краєзнавець,село Заводське,"площа Молодіжна, буд. 327 кв. 74, Стебник, 69457",+380 96 996-03-23,riabchenkomykhailyna@example.net
Вакарчук,Лесь,Богданович,Чоловік,29.11.1982,Дерун,село Глиняни,"вулиця Далекосхідна, буд. 15, Перещепине, 69450",058 403 06 20,oles78@example.com
Шинкаренко,Варвара,Віталіївна,Жінка,04.12.1963,Фермер,село Первомайськ,"проспект Олександра Невського 5-й, буд. 00, Ізмаїл, 11977",+380 (46) 357-65-53,sofiiaprytula@example.org
Чередник,Віра,Святославівна,Жінка,24.11.2001,Стропальник,селище Лохвиця,"набережна Білоруська, буд. 8 кв. 8, Полтава, 10908",+380 63 827 00 34,ehaievskyi@example.com
Верес,Алла,Зеновіївна,Жінка,30.11.1978,Редактор,село Володимир-Волинський,"парк Станційна 1-ша, буд. 18 кв. 947, Гірник , 75888",453 23 26,evyshniak@example.net
Якименко,Михайлина,Романівна,Жінка,24.11.2002,Фотограф,село Зборів,"провулок Наявний 6-й, буд. 852, Армянськ, 08605",066 743 29 88,darahandmytro@example.com
Ніколюк,Орина,Богданівна,Жінка,25.11.1998,Єгер,село Дунаївці,"провулок Савранська, буд. 716, Перечин, 68038",+380 21 076-67-90,zlatoslava36@example.com
Яремків,Костянтин,Степанович,Чоловік,01.12.1972,Парфюмер,хутір Камінь-Каширський,"набережна Лінія 31-ша, буд. 82, Березне, 28254",+380 73 413 93 10,oteslenko@example.org
Жаліло,Амалія,Ігорівна,Жінка,28.11.1985,Лікар,село Біляївка,"шосе Південна дорога, буд. 05, Берегове, 93082",+380 65 300 27 36,edyta12@example.org
Бабій,Алла,Тарасівна,Жінка,27.11.1991,Кушнір,село Шумськ,"набережна Солонцюватий 1-й, буд. 051, Красноград, 61271",044-06-96,mazepaarkadii@example.com
Сірченко,Аніта,Тарасівна,Жінка,06.12.1953,Електрослюсар,місто Турка,"набережна Полуничний, буд. 44 кв. 6, Умань, 96012",054 76 95,davymukaanastasiia@example.org
Вернигора,Дарина,Анатоліївна,Жінка,02.12.1968,Фермер,хутір Сватове,"проспект Східчастий, буд. 8, Глиняни, 81838",040 125-48-05,hannakaras@example.net
Смик,Богодар,Олегович,Чоловік,29.11.1980,М'ясник,селище Чистякове,"площа Пересипська 5-та, буд. 76, Борзна, 41953",778-27-93,viktorbandura@example.net
Артюх,Федір,Тарасович,Чоловік,29.11.1983,Електрик,місто Донецьк,"вулиця Митна, буд. 357, Географія Вільнянська, 65111",035 230 74 80,mykolai52@example.org
Гунько,Орина,Анатоліївна,Жінка,04.12.1961,Астрофізик,селище Бурштин ,"узвіз Роздольна, буд. 875 кв. 50, Прип'ять , 92112",004-03-56,iaroslavashmorhun@example.net
Остапчук,Єфрем,Анатолійович,Чоловік,28.11.1986,Дипломат,селище Болград,"сквер Дністровська, буд. 069, Джанкой, 26624",066 800 77 20,tsushkopylyp@example.org
Рева,Орися,Олегівна,Жінка,02.12.1970,Парфюмер,село Дубровиця,"сквер Дунаєва, буд. 8, Новоселиця, 67712",+380 (19) 844-83-51,avreliiovcharenko@example.org
Жадан,Демʼян,Ігорович,Чоловік,05.12.1959,Письменник,село Жмеринка,"вулиця Патріотична, буд. 6, Шепетівка, 57141",031 507-79-76,ievashvaika@example.net
Шевченко,Марія,Василівна,Жінка,29.11.1981,Стропальник,селище Інкерман,"набережна Садова 4-та, буд. 6, Кипуче, 36835",+380 49 199-82-22,erika64@example.com
Гаєвський,Костянтин,Григорійович,Чоловік,03.12.1967,Сценарист,хутір Вільнянськ,"вулиця Стельмаха, буд. 6, Ясинувата, 44681",652 33 03,adamhohol-ianovskyi@example.net
Бабиченко,Онисим,Віталійович,Чоловік,05.12.1956,Музикант,місто Андрушівка,"узвіз Лузанівський 1-й, буд. 614 кв. 649, Ладижин, 63624",030 557 21 16,valentyna10@example.com
Данилюк,Ірина,Григоріївна,Жінка,03.12.1964,Професор,селище Березівка,"узвіз Коцюбинського, буд. 02, Дубровиця, 47196",+380 (83) 198-12-72,artiushenkomyron@example.org
Вернигора,Валентин,Богданович,Чоловік,06.12.1954,Професор,хутір Жовті Води,"шосе Куяльницький міст, буд. 808 кв. 624, Золоте, 48781",150 95 09,tetianahuzenko@example.net
Арсенич,Леонід,Богданович,Чоловік,05.12.1958,Астроном,місто Добропілля,"шосе Шкодова гора, буд. 91, Кагарлик, 52331",+380 80 504-32-18,semen47@example.net
Адаменко,Давид,Віталійович,Чоловік,03.12.1967,Актор,місто Рахів,"парк Восьмого березня, буд. 28, Маріуполь, 20052",+380 (32) 673-63-57,dmytro98@example.net
Литвин,Руслан,Анатолійович,Чоловік,27.11.1989,Кур'єр,село Харків,"узвіз 2-га Лінія Марії Демченко, буд. 702, Шахтарськ, 73891",781-93-59,kkhrystych@example.net
